id,product,record_kind,category,priority,evidence_level,processing_state,access_class,target_record_family,spatial_scope,temporal_scope,fields_and_units,first_processing_task,known_limitations,supports_questions,upstream_source_ids,access_url,documentation_url,usage_terms,last_evidence_date,production_readiness,selection,user_review,owner,evidence_files
S01,IMD Current Weather,data_product,observation,later,access_blocked,sample_missing,authentication_required_in_test,observation,Station; Ahmedabad station coverage not sampled,Observation timestamps documented as UTC; actual cadence unmeasured,Unverified unless specified in documented/observed metadata.,"Resolve authorised access, then save and inspect a representative payload. Keep public website services as separate sources.",,Q01 ; Q12 ; Q16,,https://api.imd.gov.in/api/v1/current_wx,https://api.imd.gov.in/public/api_reference.html,Not established for production redistribution,2026-09-12,not_validated,proposed; no production source selected,pending,,research/discovery/evidence/20260911T153818096820Z/manifest.json ; research/discovery/evidence/20260911T153818096820Z/imd-current.response ; research/discovery/evidence/api-reference.html ; research/discovery/evidence/recheck-20260911T185811Z/S01.response ; research/discovery/evidence/recheck-20260911T185811Z/manifest.json
S02,IMD City Forecast,data_product,forecast,later,access_blocked,sample_missing,authentication_required_in_test,forecast,City/station,Documented 7-day daily forecast; no payload,Unverified unless specified in documented/observed metadata.,"Resolve authorised access, then save and inspect a representative payload. Keep public website services as separate sources.",,Q02 ; Q07 ; Q17,,https://api.imd.gov.in/api/v1/cityforecast,https://api.imd.gov.in/public/api_reference.html,Not established for production redistribution,2026-09-12,not_validated,proposed; no production source selected,pending,,research/discovery/evidence/20260911T153818096820Z/manifest.json ; research/discovery/evidence/20260911T153818096820Z/imd-city-forecast.response ; research/discovery/evidence/api-reference.html ; research/discovery/evidence/recheck-20260911T185811Z/S02.response ; research/discovery/evidence/recheck-20260911T185811Z/manifest.json
S03,IMD District Nowcast,data_product,nowcast,later,access_blocked,sample_missing,authentication_required_in_test,warning,District,Nowcast issue and validity fields documented; time conventions not validated,Unverified unless specified in documented/observed metadata.,"Resolve authorised access, then save and inspect a representative payload. Keep public website services as separate sources.",,Q03 ; Q08 ; Q09,,https://api.imd.gov.in/api/v1/districtnowcast,https://api.imd.gov.in/public/api_reference.html,Not established for production redistribution,2026-09-11,not_validated,proposed; no production source selected,pending,,research/discovery/evidence/20260911T153818096820Z/manifest.json ; research/discovery/evidence/20260911T153818096820Z/imd-nowcast.response ; research/discovery/evidence/api-reference.html ; research/discovery/evidence/recheck-20260911T185811Z/imd-reference.response ; data/reference/imd-code-namespaces.json
S04,IMD District Warning,data_product,warning,later,access_blocked,sample_missing,authentication_required_in_test,warning,District,Five day-labelled fields documented; exact day boundaries unresolved,Unverified unless specified in documented/observed metadata.,"Resolve authorised access, then save and inspect a representative payload. Keep public website services as separate sources.",,Q03 ; Q08 ; Q09,,https://api.imd.gov.in/api/v1/districtwarning,https://api.imd.gov.in/public/api_reference.html,Not established for production redistribution,2026-09-11,not_validated,proposed; no production source selected,pending,,research/discovery/evidence/20260911T153818096820Z/manifest.json ; research/discovery/evidence/20260911T153818096820Z/imd-warning.response ; research/discovery/evidence/api-reference.html ; research/discovery/evidence/recheck-20260911T185811Z/imd-reference.response ; data/reference/imd-code-namespaces.json
S05,IMD City Forecast Mapping,data_product,mapping,later,access_blocked,sample_missing,authentication_required_in_test,geography,City/station identifiers; schema not sampled,See documented/observed metadata; retrieval date is not weather validity.,Unverified unless specified in documented/observed metadata.,"Resolve authorised access, then save and inspect a representative payload. Keep public website services as separate sources.",,Q01 ; Q02 ; Q03,,https://api.imd.gov.in/api/v1/cityforecast_mapping,https://api.imd.gov.in/public/api_reference.html,Not established for production redistribution,2026-09-11,not_validated,proposed; no production source selected,pending,,research/discovery/evidence/20260911T153818096820Z/manifest.json ; research/discovery/evidence/20260911T153818096820Z/imd-city-mapping.response ; research/discovery/evidence/api-reference.html
S06,IMD-linked CAP RSS,data_product,alert_feed,next,sample_inspected,sample_ready_for_processing,public_sample_obtained,warning,National feed; Ahmedabad applicability unestablished,See documented/observed metadata; retrieval date is not weather validity.,RSS entries; parse linked CAP messages separately if obtainable,"Preserve identifiers and references; collect active, updated, cancelled and expired examples before enabling alert lifecycle logic.",Nine feed items is not evidence of complete national alert coverage. ; Feed absence cannot mean no warning or cancellation.,Q03 ; Q08 ; Q09,,https://cap-sources.s3.amazonaws.com/in-imd-en/rss.xml,https://cap-sources.s3.amazonaws.com/in-imd-en/rss.xml,Not established for production redistribution,2026-09-12,not_validated,proposed; no production source selected,pending,,research/discovery/evidence/20260911T153818096820Z/manifest.json ; research/discovery/evidence/20260911T153818096820Z/imd-cap-rss.response ; research/discovery/evidence/recheck-20260911T185811Z/S06.response ; research/discovery/evidence/recheck-20260911T185811Z/manifest.json ; research/discovery/evidence/recheck-20260911T185811Z/payload-checks.json ; data/processed/foundation/20260911T194849Z/cap-messages.json ; data/runtime/blobs/acb3456e7acb7f0e21de80da03c6d6ee9b1d7dde0384206cccc89cd297eed391.bin ; data/runtime/blobs/5c04db0de6de0b8f562b7ba37d2cc8ffe46d894858c1f1d2354709c8c862c7c8.bin ; data/runtime/blobs/ff28ff1011b0344488db70a193ff0ab6d86fe16c09c6c2f47dc793b1fc2d4958.bin ; data/runtime/blobs/c5066d5c2fb6ee002c17212bd22ce02b43bd31baa9118d08365f5b48dd5396cd.bin ; data/runtime/blobs/24e302167e261f53854e7e31c8ff66bfa178507f4e8b055ff7067f9e740f24e3.bin ; data/runtime/blobs/449ad0b821a6c2dcbaf256962ea775c553c1d0284f226efeb64b9d3de51dbb34.bin ; data/runtime/blobs/8b165e577dc7f0f0f77906412e271c62a11910e8020f2b2f1782165b8ed933b9.bin ; data/runtime/blobs/479f58bf07dd627a1c6cc68c422daaf0c682823aa3c6122627b577b375dc242d.bin ; data/runtime/blobs/2ced79b3396100d4bdf55401fca92193c2a8a99913ad62a01b986c7c2dfb103b.bin ; data/runtime/blobs/2ebb682f2306815b36d6a1276b20bee0e2367046f8042ea5b2a71a8ab30226fb.bin
S07,"Gujarat composite agromet bulletin, issue 70/2026",data_product,guidance,first,sample_inspected,sample_ready_for_processing,public_sample_obtained,advisory,Gujarat bulletin; AMFU Arnej/Ahmedabad section starts physical page 62,Issue 70/2026 dated 2026-09-09; section validity must be extracted,"Crop, stage, conditions, guidance and weather tables; preserve original units","Extract Ahmedabad pages with inherited headings, crop/stage and page citations; manually reconcile the passage and validity.","PDF metadata title says Maharashtra while printed content is Gujarat. Use body and issuer, not title alone. ; Source link can be overwritten; archive each retrieval hash.",Q04 ; Q05 ; Q06 ; Q14,,https://mausam.imd.gov.in/ahmedabad/mcdata/agromet.pdf,https://mausam.imd.gov.in/ahmedabad/mcdata/agromet.pdf,Not established for production redistribution,2026-09-11,not_validated,proposed; no production source selected,pending,,research/discovery/evidence/20260911T153818096820Z/bulletin-manifest.json ; research/discovery/evidence/20260911T153818096820Z/gujarat-agromet.pdf
S08,Gujarat district forecast and warnings bulletin,data_product,forecast_warning_bulletin,first,sample_inspected,sample_ready_for_processing,public_sample_obtained,forecast_warning_bulletin,Gujarat district rows; Ahmedabad physical page 2,Issued 2026-09-11 12:00 IST; dates 11–17 September,"Daily district forecast and warning table, with date header on physical page 1",Join page 1 date header to page 2 Ahmedabad row and reconcile every extracted cell with the rendered PDF.,Daily wording does not resolve an hourly forecast question.,Q02 ; Q03 ; Q08 ; Q17,,https://mausam.imd.gov.in/ahmedabad/mcdata/district.pdf,https://mausam.imd.gov.in/ahmedabad/mcdata/district.pdf,Not established for production redistribution,2026-09-11,not_validated,proposed; no production source selected,pending,,research/discovery/evidence/20260911T153818096820Z/bulletin-manifest.json ; research/discovery/evidence/20260911T153818096820Z/gujarat-district-forecast.pdf
S09,IMD crop-specific advisory web interface,data_product,guidance_catalog,later,catalogue_or_page_inspected,sample_missing,catalogue_or_unselected,advisory,District/crop selector; selected Ahmedabad payload not inspected,Default page displayed 2026-07-31; not proof that every district product is stale,Unverified unless specified in documented/observed metadata.,Inspect the selected Ahmedabad/crop result and its issue/validity date.,,Q04 ; Q05 ; Q14,,https://imdagrimet.gov.in/cropAdvisory_3.php,https://imdagrimet.gov.in/cropAdvisory_3.php,Not established for production redistribution,2026-09-11,not_validated,proposed; no production source selected,pending,,research/discovery/evidence/20260911T153818096820Z/imd-agromet-crop.response ; research/discovery/evidence/20260911T153818096820Z/manifest.json
S10,Ahmedabad city forecast link on IMD regional homepage,identity_evidence,mapping_evidence,later,catalogue_or_page_inspected,sample_missing,catalogue_or_unselected,geography,Ahmedabad regional homepage links city ID 42647,See documented/observed metadata; retrieval date is not weather validity.,Unverified unless specified in documented/observed metadata.,Cross-reference S20 without treating this city ID as a district or LGD ID.,,Q01 ; Q02 ; Q03,,https://mausam.imd.gov.in/ahmedabad/,https://mausam.imd.gov.in/ahmedabad/,Not established for production redistribution,2026-09-11,not_validated,proposed; no production source selected,pending,,research/discovery/evidence/20260911T153818096820Z/imd-ahmedabad.response ; research/discovery/evidence/20260911T153818096820Z/manifest.json
