source_id,product,record_kind,category,evidence_level,processing_state,conversational_use,next_step
S01,IMD Current Weather,data_product,observation,access_blocked,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S02,IMD City Forecast,data_product,forecast,access_blocked,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S03,IMD District Nowcast,data_product,nowcast,access_blocked,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S04,IMD District Warning,data_product,warning,access_blocked,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S05,IMD City Forecast Mapping,data_product,mapping,access_blocked,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S06,IMD-linked CAP RSS,data_product,alert_feed,sample_inspected,sample_ready_for_processing,reference_adapter_exists_not_connected_to_chat,Review issue/expiry/geographic/content semantics before context retrieval or dissemination.
S07,"Gujarat composite agromet bulletin, issue 70/2026",data_product,guidance,sample_inspected,sample_ready_for_processing,sample_or_reference_only,Inspect actual product contract and value beyond existing upstreams before building.
S08,Gujarat district forecast and warnings bulletin,data_product,forecast_warning_bulletin,sample_inspected,sample_ready_for_processing,sample_or_reference_only,Inspect actual product contract and value beyond existing upstreams before building.
S09,IMD crop-specific advisory web interface,data_product,guidance_catalog,catalogue_or_page_inspected,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S10,Ahmedabad city forecast link on IMD regional homepage,identity_evidence,mapping_evidence,catalogue_or_page_inspected,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S11,IMD 0.25 degree daily gridded rainfall catalogue,data_product,historical,catalogue_or_page_inspected,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S12,NOAA GFS numerical forecast output,data_product,nwp,lead,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S13,ERA5 hourly single-level reanalysis,data_product,reanalysis,lead,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S14,Ahmedabad district/village boundaries and gazetteer,capability_gap,mapping,lead,source_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S15,IMD public warning-map WFS,data_product,warning,sample_inspected,sample_ready_for_processing,reference_adapter_exists_not_connected_to_chat,Review issue/expiry/geographic/content semantics before context retrieval or dissemination.
S16,IMD Mausamgram public forecast data,data_product,forecast,sample_inspected,sample_ready_for_processing,sample_or_reference_only,Inspect actual product contract and value beyond existing upstreams before building.
S17,IMD Mausamgram public temperature variants,data_product,forecast,sample_inspected,sample_ready_for_processing,sample_or_reference_only,Inspect actual product contract and value beyond existing upstreams before building.
S18,NOAA AWC VAAH METAR dissemination,data_product,observation,sample_inspected,sample_ready_for_processing,adapter_exists_not_connected_to_chat,"Add typed product tool, identity/time validation and end-to-end acceptance cases."
S19,NOAA AWC VAAH TAF dissemination,data_product,forecast,sample_inspected,sample_ready_for_processing,adapter_exists_not_connected_to_chat,"Add typed product tool, identity/time validation and end-to-end acceptance cases."
S20,NOAA AWC airport station metadata,data_product,mapping,sample_inspected,sample_ready_for_processing,adapter_exists_not_connected_to_chat,"Add typed product tool, identity/time validation and end-to-end acceptance cases."
S21,Open-Meteo GFS forecast delivery,data_product,nwp,sample_inspected,sample_ready_for_processing,connected_to_chat_scoped,Repair fidelity and expand supported operations; preserve source scope.
